place	room	price_pax	total_price	bed	bath	sqft_pax	total_sqft	rating	built	property_units	property_stories	walkscore	transitscore	distance	dist	features	laundry	furnished	internet	ac	balcony	dishwasher	patio	hardwood	tile	intercom	granite	accessible	ice	long	lat	bed_count	address
Levering Apartments	One Bedroom	2200	2200	1 bed	1 bath	563	563	4.0	1978.0	61	4.0	52	65	0.7	0.5560906339123809	, , , High Speed Internet Access, Air Conditioning, Smoke Free, Tub/Shower, Fireplace, Intercom, Dishwasher, Disposal, Kitchen, Microwave, Oven, Range, Refrigerator, Carpet, Vinyl Flooring, Dining Room, Walk-In Closets, Window Coverings, Balcony, Patio	False	False	True	True	True	True	True	False	False	True	False	False	False	-118.453081895409	34.0665318300629	1	606 Levering Ave, Los Angeles, CA 90024
1223 Federal Ave	1223 Federal Ave #312	2498	2498	1 bed	1 bath	620	620	4.8	1991.0	59	4.0	89	64	1.9	1.6411622671999087	, , , Air Conditioning, Heating, Smoke Free, Cable Ready, Tub/Shower, Fireplace, Intercom, Sprinkler System, Framed Mirrors, Wheelchair Accessible (Rooms), Dishwasher, Disposal, Granite Countertops, Stainless Steel Appliances, Kitchen, Microwave, Oven, Hardwood Floors, Dining Room, Views, Skylights, Walk-In Closets, Large Bedrooms, Balcony, Patio	False	False	False	True	True	True	True	True	False	True	True	True	False	-118.45877522449	34.0501267346939	1	1223 Federal Ave, Los Angeles, CA 90025
1223 Federal Ave	1223 Federal Ave #115	1399	2798	2 beds	2 baths	600	1200	4.8	1991.0	59	4.0	89	64	1.9	1.6411622671999087	, , , Air Conditioning, Heating, Smoke Free, Cable Ready, Tub/Shower, Fireplace, Intercom, Sprinkler System, Framed Mirrors, Wheelchair Accessible (Rooms), Dishwasher, Disposal, Granite Countertops, Stainless Steel Appliances, Kitchen, Microwave, Oven, Hardwood Floors, Dining Room, Views, Skylights, Walk-In Closets, Large Bedrooms, Balcony, Patio	False	False	False	True	True	True	True	True	False	True	True	True	False	-118.45877522449	34.0501267346939	2	1223 Federal Ave, Los Angeles, CA 90025
1223 Federal Ave	1223 Federal Ave #113	1399	2798	2 beds	2 baths	425	850	4.8	1991.0	59	4.0	89	64	1.9	1.6411622671999087	, , , Air Conditioning, Heating, Smoke Free, Cable Ready, Tub/Shower, Fireplace, Intercom, Sprinkler System, Framed Mirrors, Wheelchair Accessible (Rooms), Dishwasher, Disposal, Granite Countertops, Stainless Steel Appliances, Kitchen, Microwave, Oven, Hardwood Floors, Dining Room, Views, Skylights, Walk-In Closets, Large Bedrooms, Balcony, Patio	False	False	False	True	True	True	True	True	False	True	True	True	False	-118.45877522449	34.0501267346939	2	1223 Federal Ave, Los Angeles, CA 90025
605 S Barrington Ave	2 bed/ 1.5 bath	1625	3250	2 beds	1.5 baths	490	980	3.0	1953.0	40	2.0	83	48	2.5	1.61975470395662	, , , High Speed Internet Access, Air Conditioning, Heating, Ceiling Fans, Smoke Free, Cable Ready, Satellite TV, Tub/Shower, Intercom, Sprinkler System, Dishwasher, Disposal, Stainless Steel Appliances, Kitchen, Microwave, Oven, Range, Refrigerator, Freezer, Hardwood Floors, Dining Room, Walk-In Closets, Linen Closet, Double Pane Windows, Window Coverings, Large Bedrooms, Patio	False	False	True	True	False	True	True	True	False	True	False	False	False	-118.46813477551	34.057494755102	2	605 S Barrington Ave, Los Angeles, CA 90049
1816 Fairburn Ave	Unit 303	2700	2700	1 bed	1 bath	700	700	4.0	1965.0	11	3.0	81	61	2.1	1.5192329955222683	, , , , Dishwasher, Disposal, Granite Countertops, Kitchen, Microwave, Oven, Range, Refrigerator, Hardwood Floors, Tile Floors, Vinyl Flooring, Walk-In Closets, Linen Closet, Double Pane Windows, Window Coverings, Large Bedrooms	False	False	False	False	False	True	False	True	True	False	True	False	False	-118.427216244898	34.0545745714286	1	1816 Fairburn Ave, Los Angeles, CA 90025
1505 Harvard St	1505-C	1848	3695	2 beds	1.5 baths	550	1100	3.0	1953.0	8	2.0	90	66		2.989813484437331	, Air Conditioning, Heating, Smoke Free, Fireplace, Dishwasher, Disposal, Granite Countertops, Stainless Steel Appliances, Kitchen, Microwave, Range, Refrigerator, Carpet, Vinyl Flooring, , , , 	False	False	False	True	False	True	False	False	False	False	True	False	False	-118.470761810476	34.0333179227829	2	1505 Harvard St, Santa Monica, CA 90404
1760-1766 Malcolm Ave	Studio	2245	2245	Studio	1 bath	550	550	4.0	1952.0	6	22.0	74	66	1.5	1.4762268906168987	, High Speed Internet Access, Air Conditioning, Smoke Free, Dishwasher, Kitchen, Hardwood Floors, , , , 	False	False	True	True	False	True	False	True	False	False	False	False	False	-118.435264006195	34.0511333082634	1	1766 Malcolm Ave, Los Angeles, CA 90024
1731 Camden Ave	3 Br 2 Ba	1298	3895	3 beds	2 baths	407	1220	4.0	1963.0	5	2.0	91	67	1.8	1.648329978737378	, , , Air Conditioning, Heating, Ceiling Fans, Smoke Free, Cable Ready, Security System, Handrails, Framed Mirrors, Dishwasher, Disposal, Granite Countertops, Pantry, Kitchen, Microwave, Oven, Range, Freezer, Carpet, Tile Floors, Dining Room, Crown Molding, Walk-In Closets, Linen Closet, Window Coverings, Wet Bar, Patio	False	False	False	True	False	True	True	False	True	False	True	False	False	-118.441793599481	34.04722235	3	1731 Camden Ave, Los Angeles, CA 90025
1939 Beloit Ave	2+2 (#203)	1475	2950	2 beds	2 baths	428	855	4.0	1986.0	8	3.0	90	62		1.9730002650342755	, , , Air Conditioning, Heating, Smoke Free, Security System, Tub/Shower, Intercom, Dishwasher, Disposal, Granite Countertops, Kitchen, Oven, Range, Refrigerator, Freezer, Hardwood Floors, Tile Floors, Dining Room, Family Room, Linen Closet, Double Pane Windows, Window Coverings, Large Bedrooms, Balcony, Patio	False	False	False	True	True	True	True	True	True	True	True	False	False	-118.443573877551	34.0424024693878	2	1939 Beloit Ave, Los Angeles, CA 90025
Kelton Towers Apartments	LARGE STUDIO	2200	2200	Studio	1 bath	550	550	4.9	1974.0	105	4.0	41	63	0.7	0.5408854131271452	, , , High Speed Internet Access, Wi-Fi, Air Conditioning, Heating, Ceiling Fans, Smoke Free, Cable Ready, Fireplace, Dishwasher, Disposal, Granite Countertops, Stainless Steel Appliances, Pantry, Eat-in Kitchen, Kitchen, Range, Refrigerator, Hardwood Floors, Carpet, Tile Floors, Walk-In Closets, Window Coverings, Balcony, Patio	False	False	True	True	True	True	True	True	True	False	True	False	False	-118.453690969519	34.0679614138655	1	515 Kelton Ave, Los Angeles, CA 90024
